系名,科系類型
竹師教育學院學士班乙組(永續發展教育組),
竹師教育學院學士班甲組(雙專長組),
管理學院學士班,
管理學院學士班(主修：企業管理),
管理學院學士班(主修：國際企業),
管理學院學士班(主修：國際企業管理),
管理學院學士班(主修：數位行銷與人力資源),
管理學院學士班(主修：會計),
管理學院學士班(主修：財務金融),
管理學院學士班(主修：財務金融A組),
管理學院學士班(主修：財務金融B組),
管理學院學士班(主修：財務金融C組),
管理學院學士班(企業管理),
管理學院學士班(國際企業),
管理學院學士班(會計),
管理學院學士班(英語專班),
管理學院學士班(財務金融),
管理學院數位行銷與服務創新國際學士班,
管理學院會計與資訊管理國際學士班,資訊管理
管理學院會計與資訊管理國際學士班智慧會計與風險管理組,資訊管理
管理學院會計與資訊管理國際學士班會計資訊與電腦稽核組,資訊管理
管理學院管理科學與財金國際學士學位學程,財務金融
管理科學學系,
管理科學學系(事業經營組),
