學年度,學校,系名,科系類型,錄取平均,原始總分
106,台大,日本語文學系,日文,80.54,483.25
106,台大,戲劇學系(男),,78.71,472.25
106,台大,戲劇學系(女),,79.97,479.8
106,台大,數學系,數學,77.96,428.8
106,台大,物理學系,物理,81.14,405.7
106,台大,化學系,化學,78.74,393.7
106,台大,地質科學系,地質,74.54,372.7
106,台大,心理學系,心理,75.7,378.5
106,台大,地理環境資源學系A組,地理,74.26,371.3
106,台大,地理環境資源學系B組,地理,82.86,414.3
106,台大,大氣科學系,大氣科學,75.64,378.2
106,台大,政治學系政治理論組,政治,81.57,448.65
106,台大,政治學系國際關係組,政治,82.98,456.38
106,台大,政治學系公共行政組,政治,82.09,451.48
106,台大,經濟學系,經濟,86.45,432.25
106,台大,社會學系,社會學,82.75,537.85
106,台大,社會工作學系,社會工作,81.58,448.68
106,台大,醫學系,醫學,90.12,450.6
106,台大,醫學系(公費),醫學,87.02,435.12
106,台大,牙醫學系,牙醫,87.54,437.7
106,台大,藥學系,藥學,84.16,420.8
106,台大,醫學檢驗暨生物技術學系,醫檢,76.0,380.0
106,台大,護理學系,護理,73.72,368.6
106,台大,物理治療學系,物理治療,82.96,414.8
106,台大,職能治療學系,職能治療,78.04,370.68
106,台大,土木工程學系,土木工程,77.3,386.5
106,台大,機械工程學系,機械工程,79.62,398.1
106,台大,化學工程學系,化學工程,79.56,397.8
106,台大,工程科學及海洋工程學系,,78.58,392.9
106,台大,材料科學與工程學系,材料,81.12,405.6
106,台大,農藝學系,,74.1,407.53
106,台大,生物環境系統工程學系,,75.86,379.3
106,台大,農業化學系,農業化學,79.16,395.8
106,台大,森林環境暨資源學系,,77.49,542.4
106,台大,動物科學技術學系,,78.34,391.7
106,台大,農業經濟學系,農業經濟,74.45,409.45
106,台大,園藝暨景觀學系,,76.78,460.65
106,台大,獸醫學系,獸醫,78.66,393.3
106,台大,生物產業傳播暨發展學系,,82.6,536.9
106,台大,生物產業機電工程學系,,77.18,385.9
106,台大,昆蟲學系,,75.08,375.4
106,台大,植物病理與微生物學系,生命科學,73.62,368.1
106,台大,工商管理學系企業管理組,企業管理,86.61,606.3
106,台大,工商管理學系科技管理組,企業管理,76.94,538.6
106,台大,會計學系,會計,84.18,547.2
106,台大,財務金融學系,財務金融,89.4,402.3
106,台大,國際企業學系,國際企業,87.33,611.3
106,台大,資訊管理學系,資訊管理,79.56,397.8
106,台大,公共衛生學系,公共衛生,75.14,375.7
106,台大,電機工程學系,電機工程,82.76,413.8
106,台大,資訊工程學系,資訊工程,81.86,409.3
106,台大,法律學系法學組,法律,85.77,450.3
106,台大,法律學系司法組,法律,86.57,454.5
106,台大,法律學系財經法學組,法律,87.58,459.8
106,台大,生命科學系,生命科學,79.28,396.4
106,台大,生化科技學系,,81.78,408.9
107,台大,中國文學系,中文,81.16,486.95
107,台大,外國語文學系,外文,83.23,520.2
107,台大,歷史學系,歷史,81.86,409.3
107,台大,哲學系,哲學,80.11,400.55
107,台大,人類學系,,80.13,420.66
107,台大,圖書資訊學系,,80.27,441.49
107,台大,日本語文學系,日文,81.02,486.1
107,台大,戲劇學系(男),,79.32,475.93
107,台大,戲劇學系(女),,79.73,478.4
107,台大,數學系,數學,81.18,446.5
107,台大,物理學系,物理,84.53,422.65
107,台大,化學系,化學,82.06,410.3
107,台大,地質科學系,地質,76.8,384.0
107,台大,心理學系,心理,78.24,391.2
107,台大,地理環境資源學系A組,地理,76.6,383.0
107,台大,地理環境資源學系B組,地理,82.96,414.8
107,台大,大氣科學系,大氣科學,77.96,389.8
107,台大,政治學系政治理論組,政治,81.78,449.81
107,台大,政治學系國際關係組,政治,83.44,458.91
107,台大,政治學系公共行政組,政治,82.47,453.59
107,台大,經濟學系,經濟,88.71,399.18
107,台大,社會學系,社會學,81.73,408.67
107,台大,社會工作學系,社會工作,80.04,440.23
107,台大,醫學系(自費),醫學,90.66,453.3
107,台大,醫學系(公費),醫學,87.89,439.45
107,台大,牙醫學系,牙醫,88.67,443.35
107,台大,藥學系,藥學,84.32,421.6
107,台大,醫學檢驗暨生物技術學系,醫檢,78.97,394.85
107,台大,護理學系,護理,75.96,379.8
107,台大,物理治療學系,物理治療,82.9,414.5
107,台大,職能治療學系,職能治療,81.41,386.68
107,台大,土木工程學系,土木工程,80.39,401.95
107,台大,機械工程學系,機械工程,82.84,414.2
107,台大,化學工程學系,化學工程,82.9,414.5
107,台大,工程科學及海洋工程學系A組(船舶海洋應力計算領域),,80.65,403.25
107,台大,工程科學及海洋工程學系B組(光機電資訊領域),,82.3,411.5
107,台大,材料科學與工程學系,材料,84.86,424.3
107,台大,醫學工程學系,生醫工程,82.81,414.05
107,台大,農藝學系,,75.56,415.58
107,台大,生物環境系統工程學系,,77.85,389.25
107,台大,農業化學系,農業化學,77.82,389.1
107,台大,森林環境暨資源學系,,74.74,523.15
107,台大,動物科學技術學系,,75.81,379.05
107,台大,農業經濟學系,農業經濟,79.53,437.4
107,台大,園藝暨景觀學系,,74.32,445.9
107,台大,獸醫學系,獸醫,81.41,407.05
107,台大,生物產業傳播暨發展學系,,82.4,535.58
107,台大,生物產業機電工程學系,,79.84,399.2
107,台大,昆蟲學系,,73.35,366.75
107,台大,植物病理與微生物學系,生命科學,75.55,377.75
107,台大,工商管理學系企業管理組,企業管理,86.93,608.5
107,台大,工商管理學系科技管理組,企業管理,80.64,564.5
107,台大,會計學系,會計,84.91,551.9
107,台大,財務金融學系,財務金融,90.78,408.5
107,台大,國際企業學系,國際企業,87.54,612.8
107,台大,資訊管理學系,資訊管理,83.83,419.14
107,台大,公共衛生學系,公共衛生,77.49,387.45
107,台大,電機工程學系,電機工程,86.52,432.6
107,台大,資訊工程學系,資訊工程,85.92,429.6
107,台大,法律學系法學組,法律,84.81,445.25
107,台大,法律學系司法組,法律,85.56,449.2
107,台大,法律學系財經法學組,法律,86.67,455.0
107,台大,生命科學系,生命科學,78.76,393.8
107,台大,生化科技學系,,80.07,400.35
108,台大,中國文學系,中文,82.14,492.81
108,台大,外國語文學系,外文,83.86,524.1
108,台大,歷史學系,歷史,84.89,424.45
108,台大,哲學系,哲學,82.3,411.5
108,台大,人類學系,,83.65,460.05
108,台大,圖書資訊學系,,83.1,457.05
108,台大,日本語文學系,日文,82.63,495.8
108,台大,戲劇學系(男),,81.04,486.25
108,台大,戲劇學系(女),,81.7,490.2
108,台大,數學系,數學,80.47,362.1
108,台大,物理學系,物理,82.9,414.5
108,台大,化學系,化學,81.1,405.5
108,台大,地質科學系,地質,77.72,388.6
108,台大,心理學系,心理,80.49,402.45
108,台大,地理環境資源學系A組,地理,76.85,384.25
108,台大,地理環境資源學系B組,地理,84.29,421.45
108,台大,大氣科學系,大氣科學,78.16,390.8
108,台大,政治學系政治理論組,政治,83.23,457.75
108,台大,政治學系國際關係組,政治,84.86,466.74
108,台大,政治學系公共行政組,政治,83.75,460.61
108,台大,經濟學系,經濟,90.84,408.78
108,台大,社會學系,社會學,84.41,422.05
108,台大,社會工作學系,社會工作,82.51,453.83
108,台大,醫學系(自費),醫學,89.62,448.1
108,台大,醫學系(公費),醫學,86.12,430.6
108,台大,牙醫學系,牙醫,87.14,435.7
108,台大,藥學系,藥學,84.03,462.15
108,台大,醫學檢驗暨生物技術學系,醫檢,81.57,407.85
108,台大,護理學系,護理,78.99,394.95
108,台大,物理治療學系,物理治療,82.37,411.85
108,台大,職能治療學系,職能治療,83.0,394.23
108,台大,土木工程學系,土木工程,78.92,394.6
108,台大,機械工程學系,機械工程,81.32,406.6
108,台大,化學工程學系,化學工程,81.59,407.95
108,台大,工程科學及海洋工程學系,,80.02,400.1
108,台大,材料科學與工程學系,材料,84.17,420.85
108,台大,醫學工程學系,生醫工程,81.21,406.05
108,台大,農藝學系,,78.51,431.83
108,台大,生物環境系統工程學系,,77.84,389.2
108,台大,農業化學系,農業化學,78.05,390.25
108,台大,森林環境暨資源學系,,75.73,530.1
108,台大,動物科學技術學系,,76.88,384.4
108,台大,農業經濟學系,農業經濟,79.38,436.6
108,台大,園藝暨景觀學系,,79.21,475.25
108,台大,獸醫學系,獸醫,83.15,415.75
108,台大,生物產業傳播暨發展學系,,83.61,543.48
108,台大,生物機電工程學系,,79.08,395.4
108,台大,昆蟲學系,,74.64,373.2
108,台大,植物病理與微生物學系,生命科學,78.35,391.75
108,台大,工商管理學系企業管理組,企業管理,87.33,611.3
108,台大,工商管理學系科技管理組,企業管理,80.81,565.7
108,台大,會計學系,會計,85.86,558.1
108,台大,財務金融學系,財務金融,92.14,414.65
108,台大,國際企業學系,國際企業,87.99,615.9
108,台大,資訊管理學系,資訊管理,82.85,414.25
108,台大,公共衛生學系,公共衛生,79.63,278.69
108,台大,電機工程學系,電機工程,84.99,424.95
108,台大,資訊工程學系,資訊工程,84.68,423.4
108,台大,法律學系法學組,法律,86.85,455.95
108,台大,法律學系司法組,法律,87.49,459.32
108,台大,法律學系財經法學組,法律,88.6,465.15
108,台大,生命科學系,生命科學,79.07,395.35
108,台大,生化科技學系,,80.7,403.5
109,台大,中國文學系,中文,78.66,471.93
109,台大,外國語文學系,外文,81.39,508.7
109,台大,歷史學系,歷史,82.22,411.1
109,台大,哲學系,哲學,79.04,395.2
109,台大,人類學系,,81.6,448.78
109,台大,圖書資訊學系,,79.3,436.13
109,台大,日本語文學系,日文,79.94,479.63
109,台大,戲劇學系(男),,77.71,466.23
109,台大,戲劇學系(女),,77.94,467.65
109,台大,數學系,數學,79.2,356.4
109,台大,物理學系,物理,80.64,403.2
109,台大,化學系,化學,78.74,393.7
109,台大,地質科學系,地質,74.35,371.75
109,台大,心理學系,心理,76.67,383.35
109,台大,地理環境資源學系A組,地理,73.9,369.5
109,台大,地理環境資源學系B組,地理,79.68,398.4
109,台大,大氣科學系,大氣科學,75.63,378.15
109,台大,政治學系政治理論組,政治,79.81,438.98
109,台大,政治學系國際關係組,政治,81.76,449.68
109,台大,政治學系公共行政組,政治,80.35,441.9
109,台大,經濟學系,經濟,88.62,398.78
109,台大,社會學系,社會學,80.86,404.3
109,台大,社會工作學系,社會工作,78.8,433.4
109,台大,醫學系(自費),醫學,88.45,442.25
109,台大,醫學系(公費),醫學,86.29,431.45
109,台大,牙醫學系,牙醫,86.26,431.3
109,台大,藥學系,藥學,83.51,459.3
109,台大,醫學檢驗暨生物技術學系,醫檢,77.49,387.45
109,台大,護理學系,護理,74.01,370.05
109,台大,物理治療學系,物理治療,81.85,409.25
109,台大,職能治療學系,職能治療,77.93,370.18
109,台大,土木工程學系,土木工程,76.13,380.65
109,台大,機械工程學系,機械工程,78.77,393.85
109,台大,化學工程學系,化學工程,79.59,397.95
109,台大,工程科學及海洋工程學系,,77.58,387.9
109,台大,材料科學與工程學系,材料,82.7,413.5
109,台大,醫學工程學系,生醫工程,79.45,397.25
109,台大,農藝學系,,74.05,407.25
109,台大,生物環境系統工程學系,,74.76,373.8
109,台大,農業化學系,農業化學,77.98,467.9
109,台大,森林環境暨資源學系,,72.24,505.65
109,台大,動物科學技術學系,,74.82,374.1
109,台大,農業經濟學系,農業經濟,74.04,407.2
109,台大,園藝暨景觀學系,,76.24,457.45
109,台大,獸醫學系,獸醫,79.63,398.15
109,台大,生物產業傳播暨發展學系,,79.88,519.23
109,台大,生物機電工程學系,,76.79,383.95
109,台大,昆蟲學系,,71.14,355.7
109,台大,植物病理與微生物學系,生命科學,74.25,371.25
109,台大,工商管理學系企業管理組,企業管理,84.89,594.2
109,台大,工商管理學系科技管理組,企業管理,76.89,538.2
109,台大,會計學系,會計,83.7,544.05
109,台大,財務金融學系,財務金融,90.55,407.48
109,台大,國際企業學系,國際企業,85.79,600.5
109,台大,資訊管理學系,資訊管理,81.22,406.1
109,台大,公共衛生學系,公共衛生,80.55,281.91
109,台大,電機工程學系,電機工程,84.26,421.3
109,台大,資訊工程學系,資訊工程,83.74,418.7
109,台大,法律學系法學組,法律,83.67,439.25
109,台大,法律學系司法組,法律,84.48,443.5
109,台大,法律學系財經法學組,法律,85.89,450.9
109,台大,生命科學系,生命科學,77.91,389.55
109,台大,生化科技學系,,79.75,398.75
110,台大,中國文學系,中文,82.41,494.48
110,台大,外國語文學系,外文,85.01,531.3
110,台大,歷史學系,歷史,83.14,415.7
110,台大,哲學系,哲學,81.11,405.55
110,台大,人類學系,,83.2,457.58
110,台大,圖書資訊學系,,81.57,448.63
110,台大,日本語文學系,日文,83.45,500.7
